58.256 2.620 3 'CN'  'CENTRAL NORTH SEA (CENTRAL GRABEN)'
56.100 5.100 2 '  ' 
55.000 6.000 2 '  ' 
54.270 6.280 2 '  ' 
53.640 6.260 2 '  ' 
53.450 4.870 2 '  ' 
54.589 3.977 2 '  ' 
58.663 0.190 2 '  ' 
58.256 2.620 2 '**' **CENTRAL NORTH SEA (CENTRAL GRABEN)
54.589 3.977 3 'SN'  'SOUTHWESTERN NORTH SEA'
53.450 4.870 2 '  ' 
53.030 4.530 2 '  ' 
52.670 4.250 2 '  ' 
51.949 3.658 2 '  ' 
51.330 3.160 2 '  ' 
51.090 2.256 2 '  ' 
51.383 1.565 2 '  ' 
52.930 2.614 2 '  ' 
54.150 2.488 2 '  ' 
54.589 3.977 2 '**' **SOUTHWESTERN NORTH SEA
55.000 6.000 3 'EN'  'EASTERN NORTH SEA'
56.100 5.100 2 '  ' 
58.256 2.620 2 '  ' 
59.000 4.000 2 '  ' 
59.100 5.100 2 '  ' 
58.500 5.700 2 '  ' 
58.100 6.500 2 '  ' 
57.200 8.500 2 '  ' 
56.400 8.100 2 '  ' 
55.000 8.000 2 '  ' 
55.170 7.120 2 '  ' 
54.690 6.480 2 '  ' 
54.270 6.280 2 '  ' 
55.000 6.000 2 '**' **EASTERN NORTH SEA
60.500 3.000 3 'HP'  'HORDA PLATFORM' 
60.600 4.200 2 '  ' 
59.000 4.000 2 '  ' 
58.256 2.620 2 '  ' 
60.500 3.000 2 '**' **HORDA PLATFORM
60.600 4.200 3 'OY'  'OEYGARDEN FAULT ZONE' 
60.800 4.900 2 '  ' 
59.100 5.100 2 '  ' 
59.000 4.000 2 '  ' 
60.600 4.200 2 '**' **OEYGARDEN FAULT ZONE
55.500 4.200 3 'FY'  'FYN DENMARK'
56.100 11.000 2 '  ' 
54.700 10.900 2 '  ' 
54.750 10.030 2 '  ' 
54.800 9.400 2 '  ' 
55.500 9.800 2 '**' **FYN DENMARK
57.500 9.800 3 'JY'  'JYLLAND DENMARK'
57.900 10.700 2 '  ' 
56.600 11.200 2 '  ' 
56.600 11.200 2 '  ' 
56.100 11.000 2 '  ' 
55.500 9.800 2 '  ' 
54.800 9.400 2 '  ' 
55.000 8.000 2 '  ' 
56.400 8.100 2 '  ' 
57.200 8.500 2 '  ' 
57.500 9.800 2 '**' **JYLLAND DENMARK
57.900 10.700 3 'KT'  'KATTEGAT' 
58.000 11.500 2 '  ' 
56.400 12.300 2 '  ' 
56.100 11.000 2 '  ' 
56.600 11.200 2 '  ' 
57.900 10.700 2 '**' **KATTEGAT
55.000 12.900 3 'BH'  'BORNHOLM AND NEARBY SEA' 
55.600 15.300 2 '  ' 
55.000 15.600 2 '  ' 
54.500 12.200 2 '  ' 
55.000 12.900 2 '**' **BORNHOLM AND NEARBY SEA
69.100 20.500 3 'CN'  'CENTRAL NORBOTTEN SWEDEN' 
69.200 21.000 2 '  ' 
68.700 22.500 2 '  ' 
66.100 21.400 2 '  ' 
68.000 17.300 2 '  ' 
68.500 18.200 2 '  ' 
68.300 20.000 2 '  ' 
69.100 20.500 2 '**' **CENTRAL NORBOTTEN SWEDEN
