-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
A10  C102740.0N 844256.0W  830.0Crater
A11   471433.0N 701152.0W   61.0Saint Roch-des-Aulnaies
A16   472814.0N 700023.0W   15.0Rivi\`ere Ouelle
A21   474213.0N 694123.0W   46.0Saint Andre
A54   472724.0N 702445.0W  381.0Misere
A61   474135.0N 700524.0W  358.0Sainte Mathilde
A64   474935.0N 695332.0W  137.0Saint Sim\'eon
AA-ISC521242.0N1741213.0W    6.0Atka
AA1                             (Alternate Abbreviation for AAA)
AA2                             (Alternate Abbreviation for TLG)
AAA   431618.0N 765648.0E  800.0Almaty (Alma-Ata)
AAB                             (Alternate Abbreviation for TLG)
AAC  C504700.0N  60500.0E  179.0Aachen
AADN R220636.0N 313300.0E  200.0
AAE    90145.0N 384556.0E 2442.0\=Ad\=\i s \=Abeba (Addis Ababa)
AAGR R330506.7S 684942.3W 1159.0Agrelo
AAHD  234446.8N 324510.2E    0.0Abu Hadid
AAI    34113.2S1281140.2E   80.0Ambon
AAK   423820.4N 742938.4E 1645.0Ala-Archa
AALM R364948.0N  22406.0W   10.0Campus Universitario de Almer\'\i a
AAM   421804.3N 833924.1W  172.0Ann Arbor
AAMC  421640.8N 834409.6W  250.0University of Michigan
AAP   102512.0N1215638.4E   50.0Anini-y
AAPN  371827.6N  40715.6W 1160.0Arroyo Pinares
AAR  C460800.0N 255342.0E 1101.0Sfinta Ana
AARM  391634.3N1210131.8W  930.0Airport Road
AAS  C620936.0S 582745.0W   15.0Arctowski Station
AASM  382548.0N1210630.6W   65.0Arroyo Seco
AAT  R     0.0N      0.0E    0.0Alma-Ata
AAU  C403531.0N1113818.0W 2694.0Alta
AB-                             (Alternate Abbreviation for AB-WV)
AB-WVC391950.0N 793401.0W  914.0Amboy
ABA   364806.0N  30206.0E  345.0Alger-Bouzareah
ABAR  165631.2N 425620.4E  135.0Ab\=u `Ar\=ish
ABB  U575042.0N 124709.6E  239.0Abborr\aa sen
ABC  C134938.0N 205040.0E  550.0Abeche
ABE   571000.0N  20600.0W   12.0Aberdeen
ABEM  374309.7S1462320.4E  548.8Aberfeldy
ABF   582252.8N1343836.0W    3.0Auke Bay
ABG  R400700.0N 750800.0W    0.0Abington
ABGF  160156.4N 613937.2W 1150.0Abri du Galion
ABH   495254.0N  73251.0E  620.0Alteburg
ABHA  181500.0N 424500.0E 2200.0Abh\=a
ABJ   440100.0N1441700.0E   39.0Abashiri
ABJ2 C435030.0N1435212.0E  180.0Abashiri 2
ABJM  390955.1N1211128.3W  457.0Bob Jauregui Ranch
ABK  C682030.0N 184900.0E  385.0Abisko
ABKT  375549.4N 580708.0E  678.0Alibek (Geyokcha)
ABL   345102.9N1191314.9W 1981.0Mount Abel
ABM   194651.6S 472154.0E 1843.0Ambohimiarambe
ABMC  404109.6N 750314.4W  170.0Merrill Creek
ABN   402328.0N 955102.0W  294.0Auburn
ABP  C132638.4N1204337.8E    0.0Abra de Ilog
ABQ                             (Alternate Abbreviation for ALQ)
ABR  R194825.2N 963202.4W  520.0El Abra
ABRM  390806.7N1212912.5W   24.0Brophy Road
ABRN  425946.8N 762907.2W  224.0Auburn
ABS   414500.0N 424836.0E 1570.0Abast'umani
ABSA  361624.0N  72840.0E 1025.0Djebel Ababsia
ABSE  145304.8N 391937.8E 2392.0Abaselama
ABT   403621.0N 311915.0E 1794.0Abant
ABTN  355307.8N 860632.4W  363.0Auburntown
ABU   345137.0N1353426.0E  200.0Abuyama
ABUS  221500.0N 310814.0E  230.0Abu Simbel
ABV  C184355.2N 642013.2W    3.0Anegada
AC-ISC512322.0N1792033.0E   61.0Amchitka
ACA  C512851.4N1790709.6E   42.0Amchitka Central A
ACAN R321626.8S 671118.9W  634.0Cantantal
ACB  C512745.4N1790527.3E   47.0Amchitka Central B
ACBG R364607.2N  21137.8W   64.0Cabo de Gata
ACC  C512903.4N1790235.2E   26.0Amchitka Central C
ACCN  432303.5N 734004.1W  340.0Adirondack Community College
ACCO R303516.5S 690455.2W 2933.0Cerro Coronel
ACD  C512541.4N1790811.8E   37.0Amchitka Central D
ACDV R301013.0S 690714.2W 1630.0Cuesta del Viento
ACE  C512401.8N1791021.9E    9.0Amchitka Central E
ACEO  414456.4N 804604.8W  293.0Ashtabula County Emergency Management Agency
ACF  C513132.7N1785938.9E   62.0Amchitka Central F
ACH    83948.6N 795545.0W  900.0Altos de Campana
ACHA  580803.6N1550939.0W    0.0Angle Creek Headwaters
ACHE R310957.9S 663949.2W 1448.0Chepes
ACHM  370618.0N  34946.8W  862.0Chimeneas
ACI   392103.0N 161211.0E  300.0Arcavacata
ACK  C655715.0N1621120.4W  377.0Alder Creek
ACKN  645929.4N1105214.9W  467.0Achilles Lake
ACL   383159.0N 142120.0E  140.0Alicudi
ACLR R371122.8N  23455.8W 1490.0Calar Alto
ACM  C423851.0N 855106.0W  268.0Allegan
ACO   364154.8N 990845.9W  521.0Alabaster Cavern State Park
ACP  C181228.2N 980334.8W 1250.0Acatl\'an
ACR    83911.4N 831004.8W  500.0Cerro Adams
ACSO  401354.8N 825855.3W  288.0Alum Creek State Park
ACTN C362049.2N 891836.0W  143.0Antioch Church
ACTO  433631.2N 800344.5W  360.0Acton
ACU   383041.0N   2438.0W  580.0Canalobre
ACVZ   11337.2N 772131.7W 1470.0
ACX   165210.0N 995130.0W  300.0Acapulco
ACY  C115951.6N 851330.6W  400.0Acoyapa
AD-                             (Alternate Abbreviation for AD-IS)
AD-ISC515230.0N1764045.0W   61.0Adak Island
AD1  C520124.0N1760906.0W  244.0Great Sitkin
AD2  C515412.0N1760106.0W  381.0Umak
AD3  C514434.0N1762125.0W  198.0Kagalaska
AD4  C514155.0N1763757.0W  213.0Hidden Bay
AD5  C513744.0N1765531.0W  152.0Yakak
AD6  C514230.0N1771430.0W  137.0South Kanaga
AD7  C515400.0N1770524.0W  244.0North Kanaga
AD8  C515850.0N1763601.0W  259.0Adagdak
ADA  C515148.0N1763918.0W    0.0Adak (Finger Bay)
ADAG  515848.7N1763606.2W  286.0Mount Adagdak
ADAT  370344.4N 352118.0E  150.0Adana
ADC  C385641.4N1205806.0W  524.0Auburn Dam (Forest Hills Divide)
ADE   345801.0S1384232.0E  655.0Adelaide (Mount Bonython)
ADEN  124700.0N 450000.0E    0.0Aden
ADES C133930.0N 892130.0W 1200.0Adelaida
ADGF R     0.0N      0.0E    0.0
ADH   383918.0N 271406.0W   83.0Angra do Heroismo
ADH0 C383947.8N 271223.8W  100.0Angra do Heroismo
ADI   330444.0N 351330.0E  470.0Adamit
ADJB  360927.6N  32616.8E 1140.0Djebel Djouab
ADK   515301.4N1764104.0W  116.0Adak
ADL   343322.8N1172501.2W  900.0Adelanto
ADM  C364610.9N1161707.1W 1033.0NRDS
ADN  C435000.0N 760710.8W  137.0Adams
ADR   370949.8N1213733.0W  207.0Anderson Reservoir
ADRA R364721.6N  30255.2W    0.0Adra
ADT  C370349.7N 352118.0E  150.0Adana
ADWM  382621.1N1205053.5W  251.0Drytown Water District
AE-                             (Alternate Abbreviation for AE-NC)
